Date,Close,High,Low,Open,Volume,log_return,volatility_21d,volatility_annualized
2021-12-17,7269.89990234375,7286.5,7236.2001953125,7260.60009765625,1477578800,0.0012800393595968306,0.011379672191322672,0.18064669571806333
2021-12-20,7198.0,7269.89990234375,7101.0,7269.89990234375,925062200,-0.009939313202845102,0.011550487061403502,0.18335829771685744
2021-12-21,7297.39990234375,7297.39990234375,7198.0,7198.0,683669700,0.013714897290011678,0.011907936023272357,0.18903262407387664
2021-12-22,7341.7001953125,7341.7001953125,7273.5,7297.39990234375,514772900,0.006052343095265524,0.011972444653990364,0.19005666683965955
2021-12-23,7373.2998046875,7385.39990234375,7331.10009765625,7341.7001953125,422671500,0.004294890648872258,0.011992271260722831,0.19037140446419784
2021-12-24,7372.10009765625,7403.7001953125,7368.7998046875,7373.2998046875,126005500,-0.00016272288874396969,0.011976558126256318,0.1901219661875036
2021-12-29,7420.7001953125,7457.10009765625,7372.10009765625,7372.10009765625,445975700,0.00657080086993989,0.00839055132387914,0.13319587299424784
2021-12-30,7403.0,7433.39990234375,7403.0,7420.7001953125,266402700,-0.0023880952112229417,0.00830163180060875,0.13178431932261658
2021-12-31,7384.5,7403.0,7357.10009765625,7403.0,179343800,-0.0025021145767333895,0.00810858655877079,0.1287198211124912
2022-01-04,7505.2001953125,7520.7998046875,7384.5,7384.5,934179500,0.016212930770477786,0.008180716133469745,0.12986484261344897
2022-01-05,7516.89990234375,7530.0,7484.2998046875,7505.2001953125,707511200,0.0015576662811189448,0.00799076679504588,0.1268494903464242
2022-01-06,7450.39990234375,7516.89990234375,7420.0,7516.89990234375,843728700,-0.008886096818031503,0.008342716351551815,0.1324365163497493
2022-01-07,7485.2998046875,7485.2998046875,7431.89990234375,7450.39990234375,705191000,0.004673362018121931,0.007807846842902681,0.12394572612720776
2022-01-10,7445.2998046875,7496.10009765625,7422.89990234375,7485.2998046875,1047171300,-0.005358136544441921,0.007336482093070973,0.11646304269806651
2022-01-11,7491.39990234375,7497.10009765625,7445.2998046875,7445.2998046875,727102400,0.006172748323126084,0.007428329297473631,0.11792107186686221
2022-01-12,7551.7001953125,7564.2001953125,7491.39990234375,7491.39990234375,873805500,0.00801704642666863,0.007542800622279951,0.11973824781297596
2022-01-13,7563.89990234375,7566.5,7530.10009765625,7551.7001953125,776326000,0.0016141879384738895,0.007436338004107407,0.11804820614331968
2022-01-14,7543.0,7568.2001953125,7523.0,7563.89990234375,790074900,-0.0027669364082479613,0.007154083231557032,0.11356755053614333
2022-01-17,7611.2001953125,7616.10009765625,7543.0,7543.0,812336800,0.009000891485582505,0.0072549549505598705,0.11516883943294992
2022-01-18,7563.60009765625,7613.10009765625,7532.0,7611.2001953125,953228000,-0.006273592120803638,0.007231980046314193,0.11480412413477241
2022-01-19,7589.7001953125,7614.89990234375,7525.2001953125,7563.60009765625,867104400,0.003444810432294618,0.0068733857770861325,0.10911161658707007
2022-01-20,7585.0,7619.0,7549.89990234375,7589.7001953125,786613700,-0.0006194778680716237,0.006897324065276288,0.10949162513125255
2022-01-21,7494.10009765625,7585.0,7450.5,7585.0,819199800,-0.01205655547840585,0.007093568914963343,0.11260691554134775
2022-01-24,7297.2001953125,7494.10009765625,7283.39990234375,7494.10009765625,1332106600,-0.02662531762475952,0.008957037545349296,0.14218856297317597
2022-01-25,7371.5,7382.60009765625,7297.2001953125,7297.2001953125,851981700,0.01013047361040723,0.009137244497687979,0.14504925965565413
2022-01-26,7469.7998046875,7525.60009765625,7371.5,7371.5,783181000,0.013246985569899342,0.009538216523356959,0.1514144932313377
2022-01-27,7554.2998046875,7596.7001953125,7388.7998046875,7469.7998046875,1022547800,0.011248712828342233,0.009812558296385472,0.15576953386535755
2022-01-28,7466.10009765625,7554.2998046875,7420.2001953125,7554.2998046875,1529106100,-0.011744124170291338,0.010117033159387412,0.1606029224731991
2022-01-31,7464.39990234375,7524.0,7450.89990234375,7466.10009765625,761419500,-0.0002277479414419211,0.010099403193857024,0.1603230554467028
2022-02-01,7535.7998046875,7549.2998046875,7463.0,7464.39990234375,746456700,0.009519932131559706,0.010266421107766866,0.16297438263489225
2022-02-02,7583.0,7605.60009765625,7535.7998046875,7535.7998046875,719672400,0.006243927992993088,0.0097433033951217,0.1546701463904599
2022-02-03,7528.7998046875,7605.7998046875,7528.7001953125,7583.0,911775100,-0.007173259098407008,0.009880824408774526,0.15685322480348526
2022-02-04,7516.39990234375,7599.7001953125,7497.2001953125,7528.7998046875,885041900,-0.0016483536799543857,0.009676733126895357,0.15361337614383327
2022-02-07,7573.5,7591.7001953125,7508.5,7516.39990234375,1073651000,0.007568025044505868,0.009760603379463795,0.15494477512798688
2022-02-08,7567.10009765625,7631.2998046875,7548.2001953125,7573.5,804533800,-0.0008453961776462685,0.009673128443962757,0.1535561535762639
2022-02-09,7643.39990234375,7657.89990234375,7567.10009765625,7567.10009765625,992005300,0.01003260177781658,0.009816475901881214,0.15583172392461708
2022-02-10,7672.39990234375,7687.2998046875,7622.7001953125,7643.39990234375,831756900,0.00378694355202944,0.0097071420305583,0.1540961025242389
2022-02-11,7661.0,7672.39990234375,7596.10009765625,7672.39990234375,909140800,-0.0014869376024587138,0.009717002542954226,0.15425263330583464
2022-02-14,7531.60009765625,7661.0,7483.39990234375,7661.0,925229500,-0.017035007928345218,0.01043689914663142,0.16568063760389393
2022-02-15,7608.89990234375,7608.89990234375,7513.2001953125,7531.60009765625,808114200,0.010211086335759343,0.010492692916358392,0.16656633624032016
2022-02-16,7603.7998046875,7630.7001953125,7560.89990234375,7608.89990234375,1128096000,-0.0006705052943320873,0.010396369634750973,0.16503725154872692
2022-02-17,7537.39990234375,7607.2001953125,7499.89990234375,7603.7998046875,776929900,-0.008770814637036325,0.010549435171134703,0.16746709161012327
2022-02-18,7513.60009765625,7570.60009765625,7508.7001953125,7537.39990234375,768986400,-0.0031625572419340525,0.010567513772385318,0.16775408050788945
2022-02-21,7484.2998046875,7571.10009765625,7446.39990234375,7513.60009765625,622636900,-0.0039072577408836755,0.010265308418570906,0.16295671924149813
2022-02-22,7494.2001953125,7531.2998046875,7365.0,7484.2998046875,1018787100,0.0013219470663657874,0.008266381637581102,0.13122474033234277
2022-02-23,7498.2001953125,7550.0,7490.5,7494.2001953125,862648700,0.0005336036912957366,0.008013367747600036,0.127208269345533
2022-02-24,7207.0,7498.2001953125,7204.7001953125,7498.2001953125,1966584700,-0.039610241843269715,0.011468470875400002,0.18205633112697378
2022-02-25,7489.5,7497.89990234375,7207.39990234375,7207.39990234375,1381725400,0.03844926368433252,0.01421245544956621,0.2256157358348213
2022-02-28,7458.2998046875,7489.5,7361.60009765625,7489.5,1584580200,-0.0041745596048256926,0.014005110420701038,0.22232423554304478
2022-03-01,7330.2001953125,7499.2998046875,7327.7998046875,7458.2998046875,1349616800,-0.01732465272097179,0.014504021486302962,0.23024420317857033
